t050,Roger,Taylor,GBR,1941.10.14,1941,10,14,,,,,,
b129,Paolo,Bertolucci,ITA,1951.08.03,1951,8,3,,82,180,175,69,"Forte Dei Marmi, Italy"
cd85,Pablo,Carreno Busta,ESP,1991.07.12,1991,7,12,2009,78,172,188,74,"Gijon, Spain"
g078,Tom,Gorman,USA,1946.01.19,1946,1,19,,75,165,180,71,"Seattle, WA"
l397,Feliciano,Lopez,ESP,1981.09.20,1981,9,20,1997,88,194,188,74,"Toledo, Spain"
ke17,Nick,Kyrgios,AUS,1995.04.27,1995,4,27,2013,85,187,193,76,"Canberra, Australia"
v306,Fernando,Verdasco,ESP,1983.11.15,1983,11,15,2001,90,198,188,74,"Madrid, Spain"
b446,Jonas,Bjorkman,SWE,1972.03.23,1972,3,23,1991,83,182,183,72,"Vaxjo, Sweden"
c031,Andrei,Chesnokov,,1966.02.02,1966,2,2,1985,76,167,188,74,"Moscow, Russia"
g075,Andres,Gimeno,ESP,1937.08.03,1937,8,3,1960,89,196,185,73,"Barcelona, Spain"
lf18,Rene,Lacoste,FRA,1904.07.02,1904,7,2,,,,,,Paris
a0e2,Carlos,Alcaraz,ESP,2003.05.05,2003,5,5,2018,74,163,183,72,"El Palmar, Murcia, Spain"
k316,Nicolas,Kiefer,GER,1977.07.05,1977,7,5,1995,80,177,183,72,"Holzminden, Germany"
a678,Kevin,Anderson,RSA,1986.05.18,1986,5,18,2007,94,208,203,80,"Johannesburg, South Africa"
k237,Karol,Kucera,SVK,1974.03.04,1974,3,4,1992,88,193,185,73,"Bratislava, Czechoslovakia"
l206,Magnus,Larsson,SWE,1970.03.25,1970,3,25,1989,93,205,193,76,"Olofstrom, Sweden"
rg71,William,Renshaw,GBR,,,,,,,,,,
s424,Fabrice,Santoro,FRA,1972.12.09,1972,12,9,1989,74,163,178,70,Tahiti
c023,Pat,Cash,AUS,1965.05.27,1965,5,27,1982,84,185,183,72,"Melbourne, VIC, Australia"
gb88,David,Goffin,BEL,1990.12.07,1990,12,7,2009,70,154,180,71,"Rocourt, Belgium"
dh58,Alex,de Minaur,AUS,1999.02.17,1999,2,17,2015,69,152,183,72,"Sydney, Australia"
c057,Kevin,Curren,USA,1958.03.02,1958,3,2,1979,77,170,185,73,"Durban, South Africa"
a034,Jordi,Arrese,ESP,1964.08.29,1964,8,29,1982,64,142,175,69,"Barcelona, Spain"
c882,Pablo,Cuevas,URU,1986.01.01,1986,1,1,2004,78,173,180,71,"Concordia, Argentina"
bp59,Don,Budge,USA,1915.06.13,1915,6,13,,,,,,"Oakland, CA"
f339,Mardy,Fish,USA,1981.12.09,1981,12,9,2000,82,180,188,74,"Edina, Minnesota, USA"
m655,Nicolas,Massu,CHI,1979.10.10,1979,10,10,1997,80,177,183,72,"Vina del Mar, Chile"
m012,Amos,Mansdorf,ISR,1965.10.20,1965,10,20,1983,73,160,175,69,"Tel Aviv, Israel"
