1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,13,C. Heathcote,hg42,c-heathcote,C. Leslie Stephen,lh22,c-leslie-stephen,,,16 62 61 56 61,3,2,24,16,0,0,1879-540-hg42-lh22,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,14,T. Hoare,hg47,t-hoare,E. Buxton,bt00,e-buxton,,,63 62 (RET),2,0,12,5,0,0,1879-540-hg47-bt00,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,15,E. Lubbock,lh21,e-lubbock,S. Pilkington,pl21,s-pilkington,,,62 62 60,3,0,18,4,0,0,1879-540-lh21-pl21,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,16,William Marshall,mu62,william-marshall,G. Cartland,cm52,g-cartland,,,63 62 64,3,0,18,9,0,0,1879-540-mu62-cm52,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,17,A.T. Myers,mu63,at-myers,A. Basil-Brooke,bt02,,,,61 60 62,3,0,18,3,0,0,1879-540-mu63-bt02,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,18,C. Parr,pl20,c-parr,H. Medlicott,mu57,h-medlicott,,,65 65 62,3,0,18,12,0,0,1879-540-pl20-mu57,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,19,Vere St. Leger Goold,sx11,vere-st-leger-goold,J. Vans Agnew,va05,j-vans-agnew,,,63 62 61,3,0,18,6,0,0,1879-540-sx11-va05,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,20,G. Tabor,tf91,g-tabor,W.E. Martin,mu64,we-martin,,,46 64 65 64,3,1,22,19,0,0,1879-540-tf91-mu64,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,21,G. Arbuthnot,af55,g-arbuthnot,O. Woodhouse,wa61,o-woodhouse,,,62 46 61 62,3,1,22,11,0,0,1879-540-af55-wa61,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,22,C. Barry,bt03,c-barry,R. Barrington,bt05,r-barrington,,,60 61 61,3,0,18,2,0,0,1879-540-bt03-bt05,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,23,A. Basil-Brooke,bt02,,H. Gilson,gi89,h-gilson,,,65 62 16 64,3,1,19,17,0,0,1879-540-bt02-gi89,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,24,V. Brooke,bs98,v-brooke,Ernest Renshaw,rg47,ernest-renshaw,,,(W/O),0,0,0,0,0,0,1879-540-bs98-rg47,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,25,E. Buxton,bt00,e-buxton,Capt Belsom,bt04,capt-belsom,,,61 65 62,3,0,18,8,0,0,1879-540-bt00-bt04,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,26,G. Cartland,cm52,g-cartland,H. Mulholland,mu55,h-mulholland,,,62 26 63 16 64,3,2,21,21,0,0,1879-540-cm52-mu55,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,27,B. Cotton,cm46,b-cotton,A. Schacht,sx12,a-schacht,,,61 36 61 64,3,1,21,12,0,0,1879-540-cm46-sx12,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,28,L. Erskine,e994,l-erskine,F. Porter,pl22,f-porter,,,60 61 61,3,0,18,2,0,0,1879-540-e994-pl22,
