1991-338-MS006-3-1-s351-a163,sydney,/en/scores/1991/338/MS006/match-stats?isLive=False,00:49:00,49,s351,220,2,0,0,37,15,15,17,22,0,0,8,227,17,34,5,8,4,7,7,32,37,22,42,54,79,a163,208,1,4,34,42,17,34,3,8,3,7,7,23,0,0,5,22,0,0,8,20,42,0,0,0,0
1991-338-MS010-2-8-f035-w136,sydney,/en/scores/1991/338/MS010/match-stats?isLive=False,00:52:00,52,f035,197,2,2,21,40,18,21,11,19,0,0,7,270,13,25,11,13,5,10,6,29,40,24,38,53,78,w136,146,1,0,25,38,12,25,2,13,5,10,6,56,3,21,8,19,0,0,7,14,38,11,40,25,78
1991-338-MS013-2-7-s351-h025,sydney,/en/scores/1991/338/MS013/match-stats?isLive=False,01:55:00,115,s351,283,12,4,55,97,48,55,19,42,6,8,15,111,13,52,21,51,2,6,16,67,97,34,103,101,200,h025,269,1,3,52,103,39,52,30,51,4,6,16,106,7,55,23,42,2,8,15,69,103,30,97,99,200
1991-338-MS011-2-6-s424-k023,sydney,/en/scores/1991/338/MS011/match-stats?isLive=False,02:10:00,130,s424,267,1,3,39,79,30,39,23,40,1,3,14,109,25,68,16,40,2,11,14,53,79,41,108,94,187,k023,273,3,1,68,108,43,68,24,40,9,11,14,147,9,39,17,40,2,3,14,67,108,26,79,93,187
1991-338-MS009-2-5-j004-c260,sydney,/en/scores/1991/338/MS009/match-stats?isLive=False,01:04:00,64,j004,294,4,1,25,45,22,25,12,20,0,0,8,183,7,26,17,25,4,9,9,34,45,24,51,58,96,c260,208,0,3,26,51,19,26,8,25,5,9,9,52,3,25,8,20,0,0,8,27,51,11,45,38,96
1991-338-MS012-2-4-a163-a031,sydney,/en/scores/1991/338/MS012/match-stats?isLive=False,01:22:00,82,a163,273,2,3,43,58,30,43,8,15,4,6,9,208,12,28,13,25,5,8,10,38,58,25,53,63,111,a031,204,1,5,28,53,16,28,12,25,3,8,10,132,13,43,7,15,2,6,9,28,53,20,58,48,111
1991-338-MS014-2-3-c001-k214,sydney,/en/scores/1991/338/MS014/match-stats?isLive=False,01:23:00,83,c001,254,2,1,44,78,32,44,15,34,9,11,10,176,12,39,19,31,4,9,10,47,78,31,70,78,148,k214,225,5,4,39,70,27,39,12,31,5,9,10,121,12,44,19,34,2,11,10,39,70,31,78,70,148
1991-338-MS015-2-2-g182-m012,sydney,/en/scores/1991/338/MS015/match-stats?isLive=False,01:25:00,85,g182,298,0,2,53,69,41,53,9,16,1,2,11,134,14,40,12,26,2,6,10,50,69,26,66,76,135,m012,261,2,1,40,66,26,40,14,26,4,6,10,126,12,53,7,16,1,2,11,40,66,19,69,59,135
1991-338-MS008-2-1-r043-m030,sydney,/en/scores/1991/338/MS008/match-stats?isLive=False,01:36:00,96,r043,264,4,3,42,76,35,42,15,34,2,4,11,161,23,62,8,17,3,6,11,50,76,31,79,81,155,m030,267,1,0,62,79,39,62,9,17,3,6,11,141,7,42,19,34,2,4,11,48,79,26,76,74,155
1991-338-MS016-1-16-m030-l018,sydney,/en/scores/1991/338/MS016/match-stats?isLive=False,01:28:00,88,m030,260,1,3,47,68,33,47,9,21,2,4,10,74,16,47,14,35,0,0,10,42,68,30,82,72,150,l018,227,5,1,47,82,31,47,21,35,0,0,10,157,14,47,12,21,2,4,10,52,82,26,68,78,150
1991-338-MS031-1-15-g182-s101,sydney,/en/scores/1991/338/MS031/match-stats?isLive=False,01:50:00,110,g182,235,0,2,65,97,42,65,13,32,5,10,14,194,14,47,23,36,6,10,15,55,97,37,83,92,180,s101,224,5,4,47,83,33,47,13,36,4,10,15,179,23,65,19,32,5,10,14,46,83,42,97,88,180
